Date,Open,High,Low,Close,Adj Close,Volume
2024-05-29,42.619999,42.750000,42.270000,42.639999,42.527813,13262300
2024-05-30,42.810001,43.480000,42.619999,43.410000,43.295788,9268700
2024-05-31,43.209999,45.020000,43.000000,44.990002,44.871632,32674600
2024-06-03,44.959999,45.959999,44.959999,45.740002,45.619659,15698500
2024-06-04,45.320000,45.770000,45.040001,45.259998,45.140919,9505400
2024-06-05,45.549999,45.689999,44.820000,45.619999,45.499973,24724900
2024-06-06,45.580002,45.980000,45.430000,45.610001,45.490002,10169800
2024-06-07,45.349998,46.080002,45.200001,45.720001,45.720001,10811700
2024-06-10,45.689999,47.759998,45.639999,47.570000,47.570000,18578800
2024-06-11,48.259998,48.950001,47.680000,48.209999,48.209999,21187000
2024-06-12,48.840000,49.349998,48.630001,48.860001,48.860001,14222200
2024-06-13,48.619999,48.720001,47.389999,47.650002,47.650002,19451700
2024-06-14,47.139999,47.389999,45.930000,46.770000,46.770000,14716500
2024-06-17,46.779999,47.529999,46.709999,47.400002,47.400002,9668800
2024-06-18,47.290001,48.040001,47.279999,47.560001,47.560001,2731277
